[{{FileHeader}}]
Version = 9.2.2218
Author = Jeppesen Marine
Desc = Automatic Export of objects from NobeltecVisual Navigation SuiteFormat = CSV

[Begin]
Track Name,Number Of Marks,Length,Start Time,End Time,Duration
VESSEL TRACK - Created 10/14/2025,122,3.876 nm,15:35:02 10-14-2025,16:09:59 10-14-2025,0 hrs 34 min 57 sec
Time,Lat,Lon,Rng-Brg To,Rng-Brg Away
15:35:02 10-14-2025,48 33.060 N,123 11.078 W,N/A,33 ft 217 T
15:35:17 10-14-2025,48 33.056 N,123 11.083 W,33 ft 217 T,40 ft 270 T
15:35:23 10-14-2025,48 33.056 N,123 11.093 W,40 ft 270 T,340.5 yd 266 T
15:36:56 10-14-2025,48 33.043 N,123 11.346 W,340.5 yd 266 T,52 ft 299 T
15:37:01 10-14-2025,48 33.048 N,123 11.358 W,52 ft 299 T,40 ft 322 T
15:37:05 10-14-2025,48 33.053 N,123 11.364 W,40 ft 322 T,50 ft 335 T
15:37:10 10-14-2025,48 33.060 N,123 11.369 W,50 ft 335 T,69 ft 346 T
15:37:17 10-14-2025,48 33.071 N,123 11.373 W,69 ft 346 T,80 ft 006 T
15:37:24 10-14-2025,48 33.084 N,123 11.371 W,80 ft 006 T,136.1 yd 008 T
15:38:04 10-14-2025,48 33.151 N,123 11.356 W,136.1 yd 008 T,55 ft 050 T
15:38:09 10-14-2025,48 33.157 N,123 11.346 W,55 ft 050 T,63.0 yd 051 T
15:38:27 10-14-2025,48 33.176 N,123 11.309 W,63.0 yd 051 T,91 ft 076 T
15:38:35 10-14-2025,48 33.179 N,123 11.287 W,91 ft 076 T,94 ft 092 T
15:38:43 10-14-2025,48 33.179 N,123 11.264 W,94 ft 092 T,0.342 nm 082 T
15:41:45 10-14-2025,48 33.226 N,123 10.752 W,0.342 nm 082 T,74 ft 059 T
15:41:52 10-14-2025,48 33.233 N,123 10.736 W,74 ft 059 T,40 ft 040 T
15:41:56 10-14-2025,48 33.238 N,123 10.730 W,40 ft 040 T,39 ft 022 T
15:42:00 10-14-2025,48 33.244 N,123 10.726 W,39 ft 022 T,79 ft 012 T
15:42:08 10-14-2025,48 33.256 N,123 10.722 W,79 ft 012 T,33.3 yd 358 T
15:42:18 10-14-2025,48 33.273 N,123 10.723 W,33.3 yd 358 T,192.1 yd 340 T
15:43:14 10-14-2025,48 33.362 N,123 10.771 W,192.1 yd 340 T,50 ft 321 T
