Time,Lat,Lon
15:35:02 10-14-2025,48 33.060 N,123 11.078 W
15:35:17 10-14-2025,48 33.056 N,123 11.083 W
15:35:23 10-14-2025,48 33.056 N,123 11.093 W
15:36:56 10-14-2025,48 33.043 N,123 11.346 W
15:37:01 10-14-2025,48 33.048 N,123 11.358 W
15:37:05 10-14-2025,48 33.053 N,123 11.364 W
15:37:10 10-14-2025,48 33.060 N,123 11.369 W
15:37:17 10-14-2025,48 33.071 N,123 11.373 W
15:37:24 10-14-2025,48 33.084 N,123 11.371 W
15:38:04 10-14-2025,48 33.151 N,123 11.356 W
15:38:09 10-14-2025,48 33.157 N,123 11.346 W
15:38:27 10-14-2025,48 33.176 N,123 11.309 W
15:38:35 10-14-2025,48 33.179 N,123 11.287 W
15:38:43 10-14-2025,48 33.179 N,123 11.264 W
15:41:45 10-14-2025,48 33.226 N,123 10.752 W
15:41:52 10-14-2025,48 33.233 N,123 10.736 W
15:41:56 10-14-2025,48 33.238 N,123 10.730 W
15:42:00 10-14-2025,48 33.244 N,123 10.726 W
15:42:08 10-14-2025,48 33.256 N,123 10.722 W
15:42:18 10-14-2025,48 33.273 N,123 10.723 W
15:43:14 10-14-2025,48 33.362 N,123 10.771 W
15:43:19 10-14-2025,48 33.368 N,123 10.779 W
15:43:27 10-14-2025,48 33.376 N,123 10.796 W
15:43:38 10-14-2025,48 33.383 N,123 10.824 W
15:43:43 10-14-2025,48 33.383 N,123 10.839 W
15:43:48 10-14-2025,48 33.380 N,123 10.853 W
15:45:53 10-14-2025,48 33.355 N,123 11.230 W
15:46:36 10-14-2025,48 33.358 N,123 11.354 W
15:46:48 10-14-2025,48 33.371 N,123 11.378 W
15:46:52 10-14-2025,48 33.377 N,123 11.380 W
15:46:56 10-14-2025,48 33.384 N,123 11.378 W
15:48:59 10-14-2025,48 33.598 N,123 11.390 W
15:49:04 10-14-2025,48 33.605 N,123 11.381 W
15:49:10 10-14-2025,48 33.611 N,123 11.368 W
15:49:14 10-14-2025,48 33.613 N,123 11.358 W
15:49:41 10-14-2025,48 33.622 N,123 11.284 W
15:50:02 10-14-2025,48 33.624 N,123 11.226 W
15:50:10 10-14-2025,48 33.616 N,123 11.206 W
15:50:15 10-14-2025,48 33.609 N,123 11.196 W
15:50:21 10-14-2025,48 33.598 N,123 11.188 W
15:50:26 10-14-2025,48 33.588 N,123 11.186 W
15:50:33 10-14-2025,48 33.573 N,123 11.189 W
15:51:46 10-14-2025,48 33.412 N,123 11.212 W
15:51:50 10-14-2025,48 33.405 N,123 11.206 W
15:51:55 10-14-2025,48 33.398 N,123 11.195 W
15:52:00 10-14-2025,48 33.393 N,123 11.182 W
15:52:22 10-14-2025,48 33.379 N,123 11.119 W
15:52:33 10-14-2025,48 33.378 N,123 11.087 W
15:52:53 10-14-2025,48 33.385 N,123 11.033 W
15:53:05 10-14-2025,48 33.395 N,123 11.005 W
15:53:09 10-14-2025,48 33.401 N,123 10.999 W
15:53:13 10-14-2025,48 33.407 N,123 10.997 W
15:53:17 10-14-2025,48 33.414 N,123 10.997 W
15:54:13 10-14-2025,48 33.507 N,123 11.006 W
15:54:17 10-14-2025,48 33.512 N,123 10.996 W
15:54:28 10-14-2025,48 33.522 N,123 10.975 W
15:54:32 10-14-2025,48 33.523 N,123 10.964 W
15:54:44 10-14-2025,48 33.524 N,123 10.931 W
15:54:56 10-14-2025,48 33.514 N,123 10.895 W
15:55:01 10-14-2025,48 33.507 N,123 10.884 W
15:55:13 10-14-2025,48 33.488 N,123 10.860 W
15:55:19 10-14-2025,48 33.477 N,123 10.854 W
15:55:32 10-14-2025,48 33.447 N,123 10.848 W
15:56:47 10-14-2025,48 33.280 N,123 10.823 W
15:56:58 10-14-2025,48 33.260 N,123 10.803 W
15:57:05 10-14-2025,48 33.250 N,123 10.786 W
15:57:10 10-14-2025,48 33.247 N,123 10.771 W
15:57:20 10-14-2025,48 33.244 N,123 10.741 W
15:57:28 10-14-2025,48 33.247 N,123 10.719 W
15:57:41 10-14-2025,48 33.257 N,123 10.686 W
